,MSSubClass,MSZoning,Neighborhood,Condition1,HouseStyle,OverallQual,YearBuilt,Exterior1st,MasVnrType,ExterQual,Foundation,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
24,20,3,19,2,2,5,1968,10,2,3,1,4,1060.0,1060,1060,1,2,6,270.0,154000
25,20,3,16,2,2,8,2007,13,3,2,2,2,1566.0,1600,1600,2,2,7,890.0,256300
26,20,3,12,2,2,5,1951,14,2,3,1,4,900.0,900,900,1,2,5,576.0,134800
27,20,3,16,2,2,8,2007,13,3,2,2,0,1704.0,1704,1704,2,2,7,772.0,306000
28,20,3,12,2,2,5,1957,8,2,3,1,4,1484.0,1600,1600,1,3,6,319.0,207500
29,30,4,3,1,2,4,1927,8,2,3,0,4,520.0,520,520,1,1,4,240.0,68500
30,70,0,9,1,5,4,1920,3,2,3,0,4,649.0,649,1317,1,3,6,250.0,40000
31,20,3,19,2,2,5,1966,6,2,3,1,4,1228.0,1228,1228,1,2,6,271.0,149350
32,20,3,5,2,2,8,2007,13,2,2,2,0,1234.0,1234,1234,2,2,7,484.0,179900
33,20,3,12,2,2,5,1959,3,2,3,1,4,1398.0,1700,1700,1,2,6,447.0,165500
34,120,3,16,2,2,9,2005,8,1,0,2,0,1561.0,1561,1561,2,0,6,556.0,277500
35,60,3,16,2,5,8,2004,13,3,2,2,0,1117.0,1132,2452,3,2,9,691.0,309000
36,20,3,5,2,2,5,1994,13,2,3,2,2,1097.0,1097,1097,1,3,6,672.0,145000
37,20,3,12,2,2,5,1954,14,1,3,1,4,1297.0,1297,1297,1,3,5,498.0,153000
38,20,3,12,2,2,5,1953,13,2,3,1,4,1057.0,1057,1057,1,2,5,246.0,109000
39,90,3,7,2,2,4,1955,0,2,3,2,3,0.0,1152,1152,2,1,6,0.0,82000
40,20,3,12,2,2,6,1965,14,1,3,1,4,1088.0,1324,1324,2,3,6,440.0,160000
41,20,3,23,2,2,5,1959,13,2,3,1,4,1350.0,1328,1328,1,3,5,308.0,170000
42,85,3,20,2,6,5,1983,6,2,3,1,2,840.0,884,884,1,2,5,504.0,144000
43,20,3,5,2,2,5,1975,13,2,3,1,2,938.0,938,938,1,3,5,308.0,130250
44,20,3,12,2,2,5,1959,3,2,3,1,4,1150.0,1150,1150,1,3,6,300.0,141000
45,120,3,16,2,2,9,2005,8,1,0,2,0,1752.0,1752,1752,2,0,6,576.0,319900
46,50,3,11,2,0,7,2003,13,2,2,2,0,1434.0,1518,2149,1,2,6,670.0,239686
47,20,1,21,2,2,8,2006,13,2,2,2,2,1656.0,1656,1656,2,2,7,826.0,249700
48,190,4,17,2,5,4,1920,8,2,3,0,4,736.0,736,1452,2,3,8,0.0,113000
49,20,3,19,2,2,5,1966,6,2,3,1,4,955.0,955,955,1,3,6,386.0,127000
50,60,3,8,2,5,6,1997,13,2,3,2,2,794.0,794,1470,2,3,6,388.0,177000
51,50,4,3,2,0,6,1934,14,2,3,2,4,816.0,816,1176,1,3,6,528.0,114500
52,90,4,9,8,2,5,1963,14,2,1,1,2,816.0,816,816,1,3,5,516.0,110000
53,20,3,24,2,2,9,1981,15,2,2,1,0,1842.0,1842,1842,0,2,5,894.0,385000
54,80,3,12,2,7,5,1955,8,2,3,1,4,384.0,1360,1360,1,3,6,572.0,130000
55,20,3,12,2,2,6,1964,6,1,3,1,4,1425.0,1425,1425,2,3,7,576.0,180500
56,160,1,21,2,5,8,1999,8,1,2,2,2,970.0,983,1739,2,2,7,480.0,172500
57,60,3,5,2,5,7,2004,13,2,2,2,2,860.0,860,1720,2,2,7,565.0,196500
58,60,3,22,2,5,10,2006,13,1,0,2,0,1410.0,1426,2945,3,2,10,641.0,438780
59,20,3,5,2,2,5,1972,6,2,3,1,4,780.0,780,780,1,3,4,352.0,124900
60,20,3,20,5,2,6,2004,13,2,3,2,2,1158.0,1158,1158,1,2,5,576.0,158000
61,75,4,9,2,4,5,1920,8,2,3,0,4,530.0,581,1111,1,1,6,288.0,101000
62,120,3,16,2,2,8,2006,13,3,2,2,2,1370.0,1370,1370,2,2,6,484.0,202500
63,70,4,17,6,5,7,1921,12,2,3,0,4,576.0,902,1710,2,3,9,480.0,140000
64,60,3,5,2,5,7,1997,13,1,3,2,2,1057.0,1057,2034,2,2,8,645.0,219500
65,60,3,16,2,5,8,2004,13,1,2,2,0,1143.0,1143,2473,2,2,9,852.0,317000
66,20,3,12,3,2,7,1970,10,1,3,1,2,1947.0,2207,2207,2,3,7,576.0,180000
67,20,3,5,2,2,7,2003,13,1,2,2,2,1453.0,1479,1479,2,2,7,558.0,226000
68,30,4,17,0,2,4,1945,8,2,3,1,4,747.0,747,747,1,3,4,220.0,80000
69,50,3,4,2,0,7,1953,3,2,2,1,4,1304.0,1304,2287,2,3,7,667.0,225000
70,20,3,12,2,2,7,1973,10,1,3,1,2,2223.0,2223,2223,2,3,8,516.0,244000
71,20,3,11,2,2,4,1982,6,2,3,1,4,845.0,845,845,1,3,4,360.0,129500
72,60,3,8,2,5,7,1998,13,1,3,2,2,832.0,885,1718,2,3,7,427.0,185000
73,20,3,12,2,2,5,1954,14,1,3,1,4,1086.0,1086,1086,1,3,6,490.0,144900
74,50,4,17,2,5,3,1915,13,2,2,1,1,840.0,840,1605,2,3,8,379.0,107400
75,180,4,10,2,7,4,1973,5,2,3,1,2,462.0,526,988,1,3,5,297.0,91000
76,20,3,12,2,2,4,1956,13,2,3,1,4,952.0,952,952,1,3,4,283.0,135750
77,50,4,3,2,0,5,1948,14,2,3,1,4,672.0,1072,1285,1,3,6,240.0,127000
78,90,3,19,2,2,4,1968,6,2,3,1,4,1768.0,1768,1768,2,3,8,0.0,136500
79,50,4,17,2,5,5,1910,14,2,3,2,4,440.0,682,1230,1,3,5,440.0,110000
80,60,3,12,2,5,6,1968,13,1,3,1,2,896.0,1182,2142,2,2,8,509.0,193500
81,120,4,11,2,2,6,1998,13,1,3,2,0,1237.0,1337,1337,2,3,5,405.0,153500
82,20,3,21,2,2,8,2007,13,3,3,2,2,1563.0,1563,1563,2,2,6,758.0,245000
83,20,3,12,2,2,5,1960,8,0,3,1,4,1065.0,1065,1065,1,3,6,461.0,126500
84,80,3,8,2,7,7,1995,6,1,3,2,2,384.0,804,1474,2,3,7,400.0,168500
85,60,3,15,2,5,8,1991,6,1,2,1,2,1288.0,1301,2417,2,2,9,462.0,260000
86,60,3,8,2,5,6,2005,13,2,2,2,2,684.0,684,1560,2,2,6,400.0,174000
87,160,1,21,2,5,6,2009,13,3,2,2,2,612.0,612,1224,2,2,4,528.0,164500
88,50,0,9,1,0,3,1915,10,2,1,1,4,1013.0,1013,1526,1,1,6,0.0,85000
89,20,3,5,2,2,4,1994,13,2,3,2,2,990.0,990,990,1,3,5,0.0,123600
90,20,3,12,2,2,4,1950,3,2,3,3,3,0.0,1040,1040,1,3,4,420.0,109900
91,20,3,12,2,2,5,1961,6,0,3,1,4,1235.0,1235,1235,1,3,6,480.0,98600
92,30,3,6,2,2,5,1921,14,2,3,0,2,876.0,964,964,1,3,5,432.0,163500
93,190,0,17,2,4,6,1910,8,2,3,0,4,1214.0,1260,2291,2,3,9,506.0,133900
94,60,3,5,2,5,6,1997,13,2,3,2,2,824.0,905,1786,2,2,7,684.0,204750
95,60,3,8,2,5,6,1993,13,1,0,2,2,680.0,680,1470,2,3,6,420.0,185000
96,20,3,5,2,2,7,1999,13,1,2,2,2,1588.0,1588,1588,2,2,6,472.0,214000
97,20,3,7,2,2,4,1965,6,1,3,1,4,960.0,960,960,1,3,6,432.0,94750
98,30,3,7,2,2,5,1920,14,2,3,0,4,458.0,835,835,1,3,5,366.0,83000
99,20,3,12,2,2,4,1959,10,2,3,1,4,950.0,1225,1225,1,3,6,0.0,128950
100,20,3,14,2,2,6,1977,10,1,3,2,4,1610.0,1610,1610,2,2,6,480.0,205000
101,60,3,20,2,5,6,1985,6,1,2,1,2,741.0,977,1732,2,2,7,476.0,178000
102,90,3,20,2,2,5,1979,6,2,3,3,3,0.0,1535,1535,2,3,8,410.0,118964
103,20,3,5,2,2,7,2009,13,2,3,2,2,1226.0,1226,1226,2,2,6,740.0,198900
104,50,4,9,2,0,7,1931,12,1,3,2,4,1040.0,1226,1818,1,3,7,240.0,169500
105,60,1,21,2,5,8,2003,13,1,2,2,0,1053.0,1053,1992,2,2,9,648.0,250000
106,30,4,17,2,2,4,1885,13,2,3,0,1,641.0,1047,1047,1,3,6,273.0,100000
107,20,4,17,2,2,5,1948,13,2,3,1,4,789.0,789,789,1,3,5,250.0,115000
108,50,4,9,0,0,5,1919,5,2,3,1,4,793.0,997,1517,2,1,7,0.0,115000
109,20,3,14,2,2,6,1977,10,1,3,1,2,1844.0,1844,1844,2,3,7,546.0,190000
110,50,3,7,2,0,6,1954,14,2,3,1,4,994.0,1216,1855,2,3,7,325.0,136900
111,80,3,8,2,7,7,2000,13,2,3,2,2,384.0,774,1430,2,3,7,400.0,180000
112,60,3,5,2,5,7,2007,13,3,2,2,0,1264.0,1282,2696,2,0,10,792.0,383970
113,20,3,6,2,2,6,1953,14,1,3,1,2,1809.0,2259,2259,2,2,7,450.0,217000
114,70,3,6,2,5,6,1945,14,2,3,1,4,1028.0,1436,2320,2,2,9,180.0,259500
115,160,1,21,2,5,6,1999,8,1,3,2,2,729.0,729,1458,2,3,5,440.0,176000
116,20,3,19,2,2,5,1962,14,1,3,1,4,1092.0,1092,1092,1,3,6,288.0,139000
117,20,3,7,2,2,5,2006,13,2,3,2,2,1125.0,1125,1125,1,3,5,430.0,155000
118,60,3,20,2,5,7,1990,10,2,3,2,2,1673.0,1699,3222,3,2,11,594.0,320000
119,60,3,5,2,5,6,2005,13,2,2,2,2,728.0,728,1456,2,2,8,390.0,163990
120,80,3,4,2,7,6,1969,10,2,3,1,4,938.0,988,988,1,3,4,540.0,180000
121,50,4,9,2,0,4,1939,0,2,3,2,4,732.0,772,1123,1,3,4,264.0,100000
122,20,3,12,2,2,6,1958,8,1,3,1,4,1080.0,1080,1080,1,3,5,288.0,136000
123,120,3,20,2,2,6,1993,10,2,2,2,2,1199.0,1199,1199,2,2,5,530.0,153900
124,20,3,14,2,2,6,1979,6,2,3,1,2,1362.0,1586,1586,2,3,7,435.0,181000
125,190,4,9,2,0,6,1935,14,2,3,1,4,520.0,520,754,1,3,5,0.0,84500
126,120,3,13,2,2,6,1976,10,2,3,1,2,1078.0,958,958,2,3,5,440.0,128000
127,45,4,17,1,1,5,1930,15,2,3,0,4,672.0,840,840,1,3,5,0.0,87000
128,60,3,12,4,5,6,1966,13,1,3,1,4,660.0,660,1348,1,3,6,453.0,155000
129,20,3,12,2,2,5,1958,10,1,3,1,4,1008.0,1053,1053,1,0,6,750.0,150000
130,60,3,12,2,5,7,1966,8,1,3,1,4,924.0,1216,2157,2,2,8,487.0,226000
131,60,3,8,2,5,6,2000,13,1,2,2,2,992.0,1022,2054,2,2,7,390.0,244000
132,20,3,12,2,2,5,1959,8,2,3,1,4,1063.0,1327,1327,1,2,7,624.0,150750
133,20,3,23,2,2,8,2001,13,1,2,2,0,1267.0,1296,1296,2,2,6,471.0,220000
134,20,3,19,2,2,5,1968,10,2,3,1,4,1461.0,1721,1721,2,3,7,440.0,180000
135,20,3,14,2,2,7,1970,10,1,3,2,4,1304.0,1682,1682,2,3,7,530.0,174000
136,20,3,12,2,2,5,1967,8,1,3,1,4,1214.0,1214,1214,2,3,5,318.0,143000
137,90,3,11,2,2,7,1988,13,1,3,1,4,1907.0,1959,1959,3,3,9,766.0,171000
138,60,3,5,2,5,8,1999,13,1,2,2,2,1004.0,1004,1852,2,2,7,660.0,230000
139,60,3,5,2,5,6,1997,13,2,3,2,2,928.0,928,1764,2,2,7,470.0,231500
140,20,3,12,2,2,4,1971,6,2,3,1,4,864.0,864,864,1,3,5,0.0,115000
141,20,3,5,2,2,7,2005,13,2,2,2,2,1734.0,1734,1734,2,2,7,660.0,260000
142,50,3,12,0,0,5,1952,3,2,3,1,4,910.0,910,1385,2,3,6,720.0,166000
143,20,3,5,2,2,7,1999,13,1,2,2,2,1490.0,1501,1501,2,2,6,577.0,204000
144,90,4,19,5,2,5,1963,6,1,3,1,4,1728.0,1728,1728,2,3,10,504.0,125000
145,160,4,7,2,5,6,2004,13,3,2,2,2,970.0,970,1709,2,2,7,380.0,130000
146,30,4,3,2,2,5,1931,14,2,3,0,4,715.0,875,875,1,3,5,180.0,105000
147,60,3,8,2,5,7,2001,13,1,2,2,2,884.0,884,2035,2,2,8,434.0,222500
148,20,3,20,2,2,7,2004,13,1,3,2,2,1080.0,1080,1080,1,2,6,0.0,141000
149,50,4,3,2,0,5,1936,8,2,3,0,2,896.0,896,1344,1,3,7,240.0,115000
150,20,3,5,2,2,5,1975,6,2,3,1,4,969.0,969,969,1,3,5,440.0,122000
151,20,3,16,2,2,8,2007,13,3,2,2,0,1710.0,1710,1710,2,2,6,866.0,372402
152,60,3,14,2,5,6,1971,6,1,3,1,4,825.0,1097,1993,2,3,8,495.0,190000
153,20,3,4,2,2,6,1960,3,2,3,1,2,1602.0,1252,1252,1,3,4,564.0,235000
154,30,4,17,2,2,6,1923,14,2,3,0,4,1200.0,1200,1200,1,3,7,312.0,125000
155,50,3,7,0,0,6,1924,14,2,3,0,4,572.0,572,1096,1,3,5,0.0,79000
156,20,3,12,2,2,5,1950,14,2,3,1,3,0.0,1040,1040,1,3,5,625.0,109500
157,60,3,23,2,5,8,2009,13,1,2,2,0,774.0,774,1968,2,0,8,680.0,269500
158,60,1,21,2,5,7,2004,13,2,2,2,2,991.0,991,1947,2,2,8,678.0,254900
159,60,3,8,2,5,7,2005,13,1,2,2,2,1392.0,1392,2462,2,2,9,576.0,320000
160,20,3,24,2,2,6,1984,10,2,3,2,2,1232.0,1232,1232,2,3,6,516.0,162500
161,60,3,16,2,5,9,2003,13,1,2,2,0,1572.0,1572,2668,2,0,10,726.0,412500
162,20,3,16,2,2,7,2005,13,1,2,2,2,1541.0,1541,1541,2,2,7,532.0,220000
163,45,3,17,2,1,4,1956,8,2,3,1,4,882.0,882,882,1,3,4,0.0,103200
164,40,4,17,2,2,6,1926,8,2,3,0,4,1149.0,1149,1616,2,2,5,216.0,152000
165,190,3,7,2,0,5,1940,14,2,3,0,4,644.0,808,1355,2,3,6,0.0,127500
166,20,3,4,2,2,5,1955,14,2,2,1,4,1617.0,1867,1867,1,3,7,303.0,190000
167,60,3,16,2,5,8,2007,13,3,2,2,0,1582.0,1610,2161,1,0,8,789.0,325624
168,60,3,8,2,5,7,2004,13,2,2,2,2,840.0,840,1720,2,2,7,440.0,183500
169,20,3,23,2,2,8,1981,10,1,2,1,2,1686.0,1707,1707,2,3,6,511.0,228000
170,50,4,17,1,0,5,1941,8,2,3,1,4,720.0,854,1382,1,3,7,660.0,128500
171,20,3,12,2,2,6,1960,3,3,3,1,4,1080.0,1656,1656,1,3,7,528.0,215000
172,160,3,22,2,5,7,1987,6,2,2,2,2,1064.0,1064,1767,2,2,5,504.0,239000
173,20,3,12,2,2,6,1961,15,0,3,1,4,1362.0,1362,1362,1,3,6,504.0,163000
174,20,3,23,2,2,6,1986,13,3,3,1,2,1606.0,1651,1651,2,3,7,616.0,184000
175,20,3,7,2,2,6,1950,15,2,3,1,4,1202.0,2158,2158,2,2,7,576.0,243000
176,60,3,4,2,5,6,1988,10,1,2,2,2,1151.0,1164,2060,2,3,8,521.0,211000
177,50,3,19,2,0,5,1958,8,2,2,1,4,1052.0,1252,1920,2,2,8,451.0,172500
178,20,3,22,2,2,9,2008,13,3,0,2,0,2216.0,2234,2234,2,0,9,1166.0,501837
179,30,4,17,2,2,5,1923,14,2,2,1,4,968.0,968,968,1,3,5,480.0,100000
180,160,1,21,2,5,6,2000,8,1,2,2,2,756.0,769,1525,2,2,5,440.0,177000
181,70,3,6,2,5,7,1920,12,2,3,0,1,793.0,901,1802,1,3,9,216.0,200100
182,20,3,7,0,2,5,1957,14,1,3,2,3,0.0,1340,1340,1,3,7,252.0,120000
183,50,4,17,2,0,7,2003,13,2,3,2,2,1362.0,1362,2082,2,2,6,484.0,200000
184,50,3,3,6,0,5,1908,0,2,3,2,1,504.0,936,1252,1,3,5,576.0,127000
185,75,4,17,0,3,10,1892,14,2,2,0,4,1107.0,1518,3608,2,0,12,840.0,475000
186,80,3,11,2,7,7,1990,6,2,3,2,2,1188.0,1217,1217,2,2,6,497.0,173000
187,50,3,17,2,0,5,1916,6,2,3,1,1,660.0,808,1656,2,3,8,180.0,135000
188,90,3,20,1,6,5,1979,10,3,3,1,2,1086.0,1224,1224,0,3,6,528.0,153337
189,120,3,22,2,2,8,2001,5,2,2,2,0,1593.0,1593,1593,1,0,5,682.0,286000
190,70,3,6,2,5,8,1932,3,2,2,1,2,853.0,1549,2727,2,2,10,440.0,315000
191,60,3,12,2,5,7,1972,6,1,3,1,4,725.0,725,1479,1,2,7,484.0,184000
192,20,3,5,2,2,7,1999,13,2,2,2,2,1431.0,1431,1431,2,2,6,666.0,192000
193,160,4,7,2,5,7,2004,13,3,2,2,2,970.0,970,1709,2,2,7,380.0,130000
194,20,3,5,2,2,5,1972,6,2,3,1,4,864.0,864,864,1,3,5,352.0,127000
195,160,3,13,2,5,6,1976,10,2,3,1,2,855.0,855,1456,2,3,7,440.0,148500
196,20,3,21,2,2,7,2007,5,3,0,2,0,1726.0,1726,1726,2,0,8,786.0,311872
197,75,3,12,0,5,8,1918,12,2,2,2,4,1360.0,1360,3112,2,2,8,795.0,235000
198,75,4,17,2,3,6,1912,14,2,3,1,4,755.0,929,2229,1,3,8,0.0,104000
199,20,3,16,2,2,8,2004,13,1,2,2,0,1713.0,1713,1713,2,0,7,856.0,274900
200,20,4,7,2,2,4,2003,13,2,3,2,2,1121.0,1121,1121,2,3,5,440.0,140000
201,20,3,11,2,2,6,1977,10,2,3,1,4,1196.0,1279,1279,2,3,6,473.0,171500
202,50,3,17,0,0,6,1924,8,2,3,0,1,617.0,865,1310,2,3,6,398.0,112000
203,120,4,5,2,2,6,2004,13,1,2,2,2,848.0,848,848,1,2,3,420.0,149000
204,50,4,17,2,0,5,1947,0,2,3,1,4,720.0,720,1284,1,3,5,240.0,110000
205,20,3,8,2,2,7,1990,6,2,3,2,2,1424.0,1442,1442,2,3,5,500.0,180500
206,20,3,19,5,2,5,1962,6,2,3,1,4,1140.0,1696,1696,1,3,8,349.0,143900
207,20,3,12,2,2,4,1960,14,2,3,2,4,1100.0,1100,1100,1,3,6,312.0,141000
208,60,3,20,2,5,7,1988,10,1,2,1,2,1157.0,1180,2062,2,3,7,454.0,277000
209,20,3,12,2,2,6,1964,6,3,3,1,2,1092.0,1092,1092,1,3,6,504.0,145000
210,30,3,7,2,2,5,1925,12,2,3,1,4,864.0,864,864,1,3,5,0.0,98000
211,20,3,7,2,2,6,2009,13,2,3,2,2,1212.0,1212,1212,2,2,6,460.0,186000
212,60,1,21,2,5,7,2009,13,2,3,2,2,900.0,932,1852,2,2,7,644.0,252678
213,20,3,5,2,2,5,1995,13,2,3,2,2,990.0,990,990,1,3,5,576.0,156000
214,60,3,5,2,5,6,1977,6,1,3,1,2,689.0,689,1392,1,3,6,299.0,161750
215,20,3,12,2,2,5,1957,6,1,3,1,4,1070.0,1236,1236,1,2,6,447.0,134450
216,20,3,5,2,2,7,2004,13,1,2,2,2,1436.0,1436,1436,2,2,8,484.0,210000
217,70,4,17,2,5,4,1925,8,2,3,1,4,686.0,810,1328,1,3,8,210.0,107000
218,50,3,6,2,0,7,1939,13,1,2,1,4,798.0,1137,1954,1,2,8,431.0,311500
219,120,3,0,2,2,7,2005,13,1,2,2,2,1248.0,1248,1248,2,2,5,438.0,167240
220,20,3,5,2,2,7,2006,13,2,2,2,2,1498.0,1498,1498,2,2,5,675.0,204900
221,60,3,8,2,5,6,2002,13,2,2,2,2,1010.0,1010,2267,2,2,8,390.0,200000
222,60,3,14,6,5,6,1975,13,2,3,1,2,713.0,811,1552,2,3,6,434.0,179900
223,20,3,12,2,2,4,1971,6,2,3,1,4,864.0,864,864,1,3,4,576.0,97000
224,20,3,16,2,2,10,2003,13,1,0,2,0,2392.0,2392,2392,2,0,8,968.0,386250
225,160,4,2,2,5,5,1971,6,1,3,1,4,630.0,630,1302,2,3,6,280.0,112000
226,60,3,15,2,5,7,1995,13,1,2,2,2,1203.0,1214,2520,2,2,9,721.0,290000
227,160,4,2,2,5,6,1970,6,1,3,1,4,483.0,483,987,1,3,5,280.0,106000
228,20,3,19,1,2,5,1967,6,2,3,1,4,912.0,912,912,1,3,5,336.0,125000
229,120,3,0,2,2,7,2005,13,1,2,2,2,1373.0,1555,1555,2,2,7,430.0,192500
230,20,3,12,2,2,6,1959,8,1,3,1,4,1194.0,1194,1194,1,3,6,312.0,148000
231,60,3,15,2,5,8,1995,13,1,2,2,2,1462.0,1490,2794,2,0,9,810.0,403000
232,160,4,2,2,5,6,1972,6,1,3,1,4,483.0,483,987,1,3,5,288.0,94500
233,20,3,5,2,2,5,1976,6,2,3,1,4,894.0,894,894,1,3,5,308.0,128200
234,60,3,8,2,5,6,2002,13,2,2,2,2,860.0,860,1960,2,2,8,440.0,216500
235,160,4,2,2,5,6,1971,6,1,3,1,4,483.0,483,987,1,3,5,264.0,89500
236,20,3,5,2,2,7,2004,13,1,2,2,2,1414.0,1414,1414,2,2,6,494.0,185500
237,60,3,20,7,5,7,1993,6,2,2,2,2,996.0,1014,1744,2,2,7,457.0,194500
238,20,3,16,2,2,8,2007,13,1,0,2,0,1694.0,1694,1694,2,2,7,818.0,318000
239,50,3,7,2,0,6,1945,13,2,3,1,4,735.0,798,1487,1,3,7,220.0,113000
240,20,1,21,2,2,8,2008,13,3,2,2,2,1566.0,1566,1566,2,2,7,750.0,262500
241,30,4,17,2,2,5,1945,13,2,3,1,4,686.0,866,866,1,2,4,0.0,110500
242,50,4,17,2,0,5,1900,14,2,3,0,4,540.0,889,1440,1,3,6,352.0,79000
243,160,3,20,2,5,6,1980,10,2,3,1,2,626.0,626,1217,1,3,6,288.0,120000
244,60,3,20,2,5,7,1994,13,2,2,2,2,948.0,1222,2110,2,2,8,463.0,205000
245,20,3,14,2,2,7,1988,14,1,3,1,2,1845.0,1872,1872,2,3,6,604.0,241500
246,190,4,17,2,5,6,1910,0,2,3,4,1,1020.0,908,1928,2,1,9,440.0,137000
247,20,3,12,2,2,6,1954,14,2,3,1,4,1367.0,1375,1375,1,3,5,451.0,140000
248,60,3,5,2,5,7,2003,13,1,2,2,2,840.0,840,1668,2,2,8,500.0,180000
249,50,3,4,2,0,6,1958,14,0,2,1,2,1444.0,1444,2144,2,2,7,389.0,277000
250,30,3,3,2,2,3,1940,14,2,3,1,4,728.0,1306,1306,1,1,6,0.0,76500
251,120,4,6,2,2,8,2006,13,3,2,2,2,1573.0,1625,1625,2,2,5,538.0,235000
252,60,3,20,2,5,6,2004,13,2,2,2,2,798.0,798,1640,2,2,6,520.0,173000
253,80,3,12,2,7,6,1964,6,1,3,1,2,1302.0,1302,1302,2,2,7,309.0,158000
254,20,3,12,2,2,5,1957,8,2,3,1,4,1314.0,1314,1314,1,3,5,294.0,145000
255,60,3,8,2,5,7,1999,13,1,2,2,2,975.0,1005,2291,2,2,8,429.0,230000
256,60,1,21,2,5,6,2003,13,2,2,2,2,864.0,864,1728,2,2,7,673.0,207500
257,20,3,5,2,2,7,2006,13,3,2,2,2,1604.0,1604,1604,2,2,8,660.0,220000
258,60,3,5,2,5,7,2001,13,1,2,2,2,963.0,963,1792,2,2,7,564.0,231500
259,20,4,17,2,2,5,1956,3,2,3,2,3,0.0,882,882,1,3,4,308.0,97000
260,80,3,12,0,7,6,1962,14,1,3,1,4,1362.0,1382,1382,1,3,6,884.0,176000
261,60,3,5,2,5,8,2007,5,3,2,2,0,1482.0,1482,2574,2,0,10,868.0,276000
262,80,3,19,2,7,6,1977,6,1,3,1,2,506.0,1212,1212,1,3,6,492.0,151000
263,50,4,17,2,0,5,1929,14,2,3,0,4,926.0,926,1316,1,3,6,484.0,130000
264,30,4,17,0,2,5,1925,14,2,3,0,1,680.0,764,764,1,3,4,504.0,73000
265,20,3,14,2,2,6,1981,8,1,3,1,2,1422.0,1422,1422,2,2,7,576.0,175500
266,60,3,8,2,5,6,1997,13,2,3,2,2,802.0,802,1511,2,3,8,413.0,185000
267,75,3,18,2,3,5,1939,14,2,3,2,4,720.0,1052,2192,2,2,8,240.0,179500
268,30,4,9,2,2,5,1940,13,2,3,1,4,740.0,778,778,1,3,4,924.0,120500
269,20,3,7,2,2,6,1976,6,1,3,1,4,1143.0,1113,1113,1,3,6,504.0,148000
270,60,1,21,2,5,8,2006,13,2,2,2,2,1095.0,1095,1939,2,2,8,1053.0,266000
271,20,3,4,2,2,7,1954,10,2,3,1,2,1385.0,1363,1363,1,3,5,439.0,241500
